DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino;IdeObr;NumCpdCnteCutLinhaTransm;NumCpdCnteLgaLinhaTransm;IdcTipoCircuitoLinhaTransm;IdcTipoEstruturaLinhaTransm;NumCaboCondutorLinhaTransm;NumCaboParaRaioLinhaTransm;IdeCaboCondutor;IdeCaboParaRaio;NumTensaoBaseLinhaTransm
2026-04-27;40305;4;Ativa;4375;4432;715;LT 500 kV NOVA PONTE 3 /ITUMBIARA MG;1;65;30,2200000000;MGNP3;NOVA PONTE 3;SUB NOVA PONTE 3 MG;MG;MGUSIM;ITUMBIARA;USI ITUMBIARA     MG;MG;26538;3480;2925;0;2;3;2;23;41;500,00
2026-04-27;40308;4;Ativa;1730;2843;1851;LT 440 kV ARARAQUARA 2 /ARARAQUARA SP;3;34;11,8500000000;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP;26541;3550;2190;0;2;4;2;75;77;440,00
2026-04-27;40314;4;Ativa;4362;605;4432;LT 500 kV PARACATU 4 /NOVA PONTE 3 MG;2;572;268,3100000000;MGPAT4;PARACATU 4;SUB PARACATU 4    MG;MG;MGNP3;NOVA PONTE 3;SUB NOVA PONTE 3 MG;MG;26547;4000;2965;0;1;6;2;85;82;500,00
2026-04-27;40321;4;Ativa;4363;4432;2843;LT 500 kV NOVA PONTE 3 /ARARAQUARA 2 MG/SP;2;612;296,6200000000;MGNP3;NOVA PONTE 3;SUB NOVA PONTE 3 MG;MG;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;26554;4000;2965;0;1;6;2;85;82;500,00
2026-04-27;40328;4;Ativa;4364;3332;4433;LT 500 kV JAIBA /JANAUBA 6 MG;1;208;102,4800000000;MGJAB;JAIBA;SUB JAIBA MG;MG;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;26561;;;1;2;4;2;75;42;500,00
2026-04-27;40331;4;Ativa;4364;3332;4433;LT 500 kV JAIBA /JANAUBA 6 MG;2;208;102,4800000000;MGJAB;JAIBA;SUB JAIBA MG;MG;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;26564;;;1;2;4;2;75;42;500,00
2026-04-27;40334;4;Ativa;4365;4433;3267;LT 500 kV JANAUBA 6 /JANAUBA 3 MG;1;81;40,3300000000;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;MGJBA3;JANAUBA 3;SE JANAUBA 3;MG;26567;;;1;2;4;2;75;42;500,00
2026-04-27;40337;4;Ativa;4365;4433;3267;LT 500 kV JANAUBA 6 /JANAUBA 3 MG;2;81;40,3300000000;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;MGJBA3;JANAUBA 3;SE JANAUBA 3;MG;26570;;;1;2;4;2;75;42;500,00
2026-04-27;40340;4;Ativa;4366;4433;4434;LT 500 kV JANAUBA 6 /CAPELINHA 3 MG;1;446;222,7600000000;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;MGCAP3;CAPELINHA 3;SUB CAPELINHA 3 MG;MG;26573;;;0;1;6;2;81;41;500,00
2026-04-27;40343;4;Ativa;4367;4434;3279;LT 500 kV CAPELINHA 3 /G.VALADARES 6 MG;1;272;135,1400000000;MGCAP3;CAPELINHA 3;SUB CAPELINHA 3 MG;MG;MGGVA6;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;26576;;;0;0;6;2;81;41;500,00
2026-04-27;40396;4;Ativa;4368;3286;2916;LT 500 kV JOAO NEIVA 2 /VIANA 2 ES;1;;77,5000000000;ESSJND;JOAO NEIVA 2;SUB JOAO NEIVA 2 ES;ES;ESSTVD;VIANA 2;SUB VIANA 2 ES;ES;26629;;;0;;;;;;500,00
2026-04-27;40399;4;Ativa;1524;2916;221;LT 345 kV VIANA 2 /VIANA ES;3;;7,5000000000;ESSTVD;VIANA 2;SUB VIANA 2 ES;ES;ESSTAE;VIANA;SUB VIANA    ES;ES;26632;;;0;;;;;;345,00
2026-04-27;40407;4;Ativa;4366;4433;4434;LT 500 kV JANAUBA 6 /CAPELINHA 3 MG;2;444;222,7100000000;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;MGCAP3;CAPELINHA 3;SUB CAPELINHA 3 MG;MG;26640;;;0;1;6;2;81;41;500,00
2026-04-27;40410;4;Ativa;4367;4434;3279;LT 500 kV CAPELINHA 3 /G.VALADARES 6 MG;2;276;135,1000000000;MGCAP3;CAPELINHA 3;SUB CAPELINHA 3 MG;MG;MGGVA6;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;26643;;;0;0;6;2;81;41;500,00
2026-04-27;40422;4;Ativa;4369;2793;4416;LT 230 kV LARANJAL /MACAPA III AP;1;;217,0000000000;APLAL;LARANJAL;SUB LARANJAL AP;AP;INS-APMCT;MACAPA III;SUB MACAPA III AP;AP;26658;;;0;;;;;;230,00
2026-04-27;40515;4;Ativa;4380;821;3193;LT 230 kV JUINA /DARDANELOS MT;1;;167,0000000000;MTJUI;JUINA;SUB JUINA    MT;MT;MTDD;DARDANELOS;SUB DARDANELOS MT;MT;26785;;;1;;;;;;230,00
2026-04-27;40518;4;Ativa;4380;821;3193;LT 230 kV JUINA /DARDANELOS MT;2;;167,0000000000;MTJUI;JUINA;SUB JUINA    MT;MT;MTDD;DARDANELOS;SUB DARDANELOS MT;MT;26788;;;1;;;;;;230,00
2026-04-27;40627;4;Ativa;1933;1534;3230;LT 230 kV MACAMBARA /MACAMBARA 3 RS;2;5;5,4000000000;RSMBR;MACAMBARA;SUB MACAMBARA     RS;RS;RSMBR3;MACAMBARA 3;SE MACAMBARA 3 RS;RS;26879;1493;1227;0;0;1;2;75;28;230,00
2026-04-27;40628;4;Ativa;1934;3230;1596;LT 230 kV MACAMBARA 3 /SANTO ANGELO RS;2;5;199,7000000000;RSMBR3;MACAMBARA 3;SE MACAMBARA 3 RS;RS;RSSTA;SANTO ANGELO;SUB SANTO ANGELO     RS;RS;26880;1493;1227;0;0;1;2;75;28;230,00
2026-04-27;40835;4;Ativa;4417;3279;222;LT 230 kV G.VALADARES 6 /VERONA MG/ES;1;;165,0000000000;MGGVA6;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;ESSTVE;VERONA;SUB VERONA     ES;ES;26996;;;0;;;;;;230,00
2026-04-27;40838;4;Ativa;1389;1421;1427;LT 230 kV ABUNA /PORTO VELHO RO;3;378;186,9400000000;ROAN;ABUNA;SUB ABUNA    RO;RO;ROPV;PORTO VELHO;SUB PORTO VELHO   RO;RO;26999;2050;1500;0;1;2;2;85;59;230,00
2026-04-27;40843;4;Ativa;4418;319;4469;LT 230 kV ACAILANDIA /DOM ELISEU II MA/PA;1;;71,5000000000;MAAC;ACAILANDIA;SUB ACAILANDIA    MA;MA;PADELI;DOM ELISEU II;SUB DOM ELISEU II PA;PA;27004;;;1;;;;;;230,00
2026-04-27;40846;4;Ativa;4418;319;4469;LT 230 kV ACAILANDIA /DOM ELISEU II MA/PA;2;;71,5000000000;MAAC;ACAILANDIA;SUB ACAILANDIA    MA;MA;PADELI;DOM ELISEU II;SUB DOM ELISEU II PA;PA;27007;;;1;;;;;;230,00
2026-04-27;40883;4;Ativa;4419;2930;4470;LT 230 kV ENCRUZO NOVO /SANTA LUZIA III MA;1;;207,0000000000;MAEN;ENCRUZO NOVO;SUB ENCRUZO NOVO     MA;MA;MASLT;SANTA LUZIA III;SUB SANTA LUZIA III MA;MA;27044;;;0;;;;;;230,00
2026-04-27;40934;4;Ativa;4420;1329;4471;LT 345 kV CAMPOS /PORTO DO ACU RJ;1;;15,0000000000;RJSTCM;CAMPOS;SUB CAMPOS     RJ;RJ;RJPDA;PORTO DO ACU;SUB PORTO DO ACU RJ;RJ;27095;;;1;;;;;;345,00
