DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;RSCAX6;BD4;Barra Dupla a Quatro Chaves;28309;1;4;2925;0;CAXIAS SUL 6;SUB CAXIAS DO SUL 6 RS;RS;MG2;MG 230 kV CAXIAS SUL 6 MG2 RS;3;230,00
2026-04-27;RSNPE2;BD4;Barra Dupla a Quatro Chaves;28310;1;4;2927;0;N. PETROPOLIS 2;SUB NOVA PETROPOLIS 2  RS;RS;MG2;MG 230 kV N. PETROPOLIS 2 MG2 RS;3;230,00
2026-04-27;MGSDU;BD4;Barra Dupla a Quatro Chaves;28311;1;4;2860;0;SANTOS DUMONT 2;SUB SANTOS DUMONT 2 MG;MG;MG2;MG 345 kV SANTOS DUMONT 2 MG2 MG;3;345,00
2026-04-27;MGSLA4;DJM;Disjuntor e Meio;28312;1;2;2990;0;SETE LAGOAS 4;SUB SETE LAGOAS 4    MG;MG;MG3;MG 345 kV SETE LAGOAS 4 MG3 MG;3;345,00
2026-04-27;MGITB4;BD4;Barra Dupla a Quatro Chaves;28317;1;4;3244;0;ITABIRA 4;SE ITABIRA 4;MG;MG1;MG 230 kV ITABIRA 4 MG1 MG;3;230,00
2026-04-27;SCATA-5;DJM;Disjuntor e Meio;28338;1;2;3117;0;ABDON BATISTA;SUB ABDON BATISTA SC;SC;MG2;MG 525 kV ABDON BATISTA MG2 SC;3;525,00
2026-04-27;MGITB;DJM;Disjuntor e Meio;28339;1;2;2920;;ITABIRITO 2;SUB ITABIRITO 2 MG;MG;MG5;MG 500 kV ITABIRITO 2 MG5 MG;3;500,00
2026-04-27;SCATA-5;BD4;Barra Dupla a Quatro Chaves;28340;1;4;3117;;ABDON BATISTA;SUB ABDON BATISTA SC;SC;MG3;MG 230 kV ABDON BATISTA MG3 SC;3;230,00
2026-04-27;RSCAM3;BD4;Barra Dupla a Quatro Chaves;28502;1;4;3131;;CAMAQUA 3;SUB CAMAQUA 3 RS;RS;MG2;MG 230 kV CAMAQUA 3 MG2 RS;4;230,00
2026-04-27;RSGRT;BD4;Barra Dupla a Quatro Chaves;28942;1;4;1515;0;GUARITA;SUB GUARITA    RS;RS;MG2;MG 230 kV GUARITA MG2 RS;3;230,00
2026-04-27;MSCGR2;BD4;Barra Dupla a Quatro Chaves;30893;1;4;3163;;CAMPO GRANDE 2;SUB CAMPO GRANDE 2 MS;MS;MG2;MG 230 kV CAMPO GRANDE 2 MG2 MS;3;230,00
2026-04-27;RSCTT;BPT;Barra Principal e Transferência;30955;1;1;2892;0;CASTERTECH;SUB CASTERTECH RS;RS;MG1;MG 230 kV CASTERTECH MG1 RS;3;230,00
2026-04-27;SCXAN;BD4;Barra Dupla a Quatro Chaves;30962;1;4;1784;0;XANXERE ESU;SUB XANXERE (ELETROSUL)   SC;SC;MG2;MG 230 kV XANXERE ESU MG2 SC;3;230,00
2026-04-27;CEQXR;BD4;Barra Dupla a Quatro Chaves;31811;1;4;3307;;QUIXERE;SUB QUIXERE CE;CE;MGA1;MG 230 kV QUIXERE MGA1 CE;3;230,00
2026-04-27;PETAT;BD4;Barra Dupla a Quatro Chaves;31816;1;4;3308;;TACARATU;SUB TACARATU PE;PE;MG1;MG 230 kV TACARATU MG1 PE;2;230,00
2026-04-27;PRREP;BD4;Barra Dupla a Quatro Chaves;31847;1;4;3026;;REPAR;SUB REPAR    PR;PR;MIGA1;MG 230 kV REPAR MIGA1 PR;3;230,00
2026-04-27;MTRB;DJM;Disjuntor e Meio;31848;1;2;836;;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT;MG4;MG 500 kV RIBEIRAOZINHO MG4 MT;3;500,00
2026-04-27;SPMDO;DJM;Disjuntor e Meio;32139;1;2;3242;1;MORRO AGUDO;SUB MORRO AGUDO SP;SP;MG2;MG 500 kV MORRO AGUDO MG2 SP;3;500,00
2026-04-27;;BD4;Barra Dupla a Quatro Chaves;32310;1;4;3319;1;KLACEL;Klabim Celulose;PR;MG1;MG 230 kV KLACEL MG1 PR;3;230,00
2026-04-27;RSUTUR;DJM;Disjuntor e Meio;32322;1;2;1642;1;UTE URUGUAIANA;UTE URUGUAIANA     RS;RS;MG1;MG 230 kV UTE URUGUAIANA MG1 RS;3;230,00
2026-04-27;MGVARG;DJM;Disjuntor e Meio;33399;1;2;3328;;NOVA LIMA 6;SUB NOVA LIMA 6 MG;MG;MG1;MG 345 kV NOVA LIMA 6 MG1 MG;3;345,00
2026-04-27;CESBT;DJM;Disjuntor e Meio;37147;1;2;162;1;SOBRAL III;SUB SOBRAL III    CE;CE;MG2;MG 500 kV SOBRAL III MG2 CE;3;500,00
2026-04-27;MAAC;DJM;Disjuntor e Meio;37148;1;2;319;0;ACAILANDIA;SUB ACAILANDIA    MA;MA;MG3;MG 500 kV ACAILANDIA MG3 MA;3;500,00
2026-04-27;CEFZD;DJM;Disjuntor e Meio;37149;1;2;145;1;FORTALEZA II;SUB FORTALEZA II     CE;CE;MG2;MG 500 kV FORTALEZA II MG2 CE;3;500,00
2026-04-27;PAMB;DJM;Disjuntor e Meio;37150;1;2;874;1;MARABA;SUB MARABA     PA;PA;MG2;MG 500 kV MARABA MG2 PA;3;500,00
2026-04-27;PAMB;DJM;Disjuntor e Meio;37151;1;2;874;1;MARABA;SUB MARABA     PA;PA;MG3;MG 500 kV MARABA MG3 PA;3;500,00
2026-04-27;PATC;DJM;Disjuntor e Meio;37152;1;2;885;0;TUCURUI;SUB TUCURUI    PA;PA;MG2;MG 500 kV TUCURUI MG2 PA;3;500,00
2026-04-27;PATC;DJM;Disjuntor e Meio;37153;1;2;885;0;TUCURUI;SUB TUCURUI    PA;PA;MG3;MG 500 kV TUCURUI MG3 PA;3;500,00
2026-04-27;PRBTA;;;37156;1;;1024;;BATEIAS;SUB BATEIAS    PR;PR;MG5;MG 500 kV BATEIAS MG5 PR;3;500,00
2026-04-27;SCBLU;;;37158;1;;1659;;BLUMENAU;SUB BLUMENAU    SC;SC;MG4;MG 500 kV BLUMENAU MG4 SC;3;500,00
