DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Transformador de Potência;Monofásico;MGBRZ3;40189;3;4431;;;;Reserva;200.00;345.00;13.80;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;TRR1;TR 500/345 kV BURITIZEIRO 3 TRR1 MG;0;500,00
2026-04-27;Reator de Barra;Monofásico;MGBRZ3;40190;3;4431;180.00;;;Principal;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RT1;RTB 500 kV 180 Mvar BURITIZEIRO 3 RT1 MG;0;500,00
2026-04-27;Reator de Barra;Monofásico;MGBRZ3;40192;3;4431;180.00;;;Principal;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RT2;RTB 500 kV 180 Mvar BURITIZEIRO 3 RT2 MG;0;500,00
2026-04-27;Reator de Barra;Monofásico;MGBRZ3;40194;3;4431;60.00;;;Reserva;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RTR1;RTB 500 kV 60 Mvar BURITIZEIRO 3 RTR1 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGBRZ3;40195;3;4431;250.00;;;Principal;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RT3;RTL 500 kV 250 Mvar BURITIZEIRO 3 RT3 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGBRZ3;40197;3;4431;83.33;;;Reserva;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RTR2;RTL 500 kV 83,33 Mvar BURITIZEIRO 3 RTR2 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGBRZ3;40198;3;4431;180.00;;;Principal;;;;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;RT4;RTL 500 kV 180 Mvar BURITIZEIRO 3 RT4 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGSGPA;40202;3;659;250.00;;;Principal;;;;S. G. DO PARA;SUB SAO GONCALO DO PARA   MG;MG;RT5;RTL 500 kV 250 Mvar S. G. DO PARA RT5 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGSGPA;40204;3;659;83.33;;;Reserva;;;;S. G. DO PARA;SUB SAO GONCALO DO PARA   MG;MG;RTR2;RTL 500 kV 83,33 Mvar S. G. DO PARA RTR2 MG;0;500,00
2026-04-27;Reator de Linha;Monofásico;MGSGOT;40205;3;658;180.00;;;Principal;;;;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG;RT8;RTL 500 kV 180 Mvar SAO GOTARDO 2 RT8 MG;0;500,00
