DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Reator de Linha;Monofásico;;39053;3;4405;250.00;;N;Principal;;;;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;RT4;RTL 500 kV 250 Mvar MEDEIROS NETO II RT4 BA;3;500,00
2026-04-27;Reator de Linha;Monofásico;;39055;3;4405;83.33;;N;Reserva;;;;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;RTR3;RTL 500 kV 83,33 Mvar MEDEIROS NETO II RTR3 BA;3;500,00
2026-04-27;Transformador de Potência;Monofásico;;39063;3;4405;;;N;Principal;100.00;230.00;13.80;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;TR1;TR 500/230 kV MEDEIROS NETO II TR1 BA;3;500,00
2026-04-27;Transformador de Potência;Monofásico;;39066;3;4405;;;N;Reserva;33.33;230.00;13.80;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;TRR1;TR 500/230 kV MEDEIROS NETO II TRR1 BA;3;500,00
2026-04-27;Reator de Barra;Monofásico;BAMPD;39070;3;3107;150.00;;N;Principal;;;;MORRO CHAPEU II;SUB MORRO DO CHAPEU II BA;BA;RT5;RTB 500 kV 150 Mvar MORRO CHAPEU II RT5 BA;3;500,00
2026-04-27;Reator de Barra;Monofásico;BAMPD;39072;3;3107;150.00;;N;Principal;;;;MORRO CHAPEU II;SUB MORRO DO CHAPEU II BA;BA;RT6;RTB 500 kV 150 Mvar MORRO CHAPEU II RT6 BA;3;500,00
2026-04-27;Reator de Barra;Monofásico;BAMPD;39074;3;3107;50.00;;N;Reserva;;;;MORRO CHAPEU II;SUB MORRO DO CHAPEU II BA;BA;RTR5;RTB 500 kV 50 Mvar MORRO CHAPEU II RTR5 BA;3;500,00
2026-04-27;Transformador de Potência;Monofásico;SPSCDS;39085;3;3390;;;;Principal;400.00;88.00;13.80;S.CAETANO SUL;SUB SÃO CAETANO DO SUL SP;SP;TR1;TR 345/88 kV S.CAETANO SUL TR1 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPSCDS;39088;3;3390;;;;Principal;400.00;88.00;13.80;S.CAETANO SUL;SUB SÃO CAETANO DO SUL SP;SP;TR2;TR 345/88 kV S.CAETANO SUL TR2 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPSCDS;39091;3;3390;;;;Reserva;133.33;88.00;13.80;S.CAETANO SUL;SUB SÃO CAETANO DO SUL SP;SP;TRR1;TR 345/88 kV S.CAETANO SUL TRR1 SP;3;345,00
2026-04-27;Transformador de Aterramento;Trifásico;SPSCDS;39093;3;3390;;;;Principal;10.00;;;S.CAETANO SUL;SUB SÃO CAETANO DO SUL SP;SP;TT1;TT 88/0 kV S.CAETANO SUL TT1 SP;3;88,00
2026-04-27;Transformador de Aterramento;Trifásico;SPSCDS;39095;3;3390;;;;Principal;10.00;;;S.CAETANO SUL;SUB SÃO CAETANO DO SUL SP;SP;TT2;TT 88/0 kV S.CAETANO SUL TT2 SP;3;88,00
2026-04-27;Transformador de Potência;Monofásico;SPSGEL;39117;3;3389;;;;Principal;400.00;88.00;13.80;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TR1;TR 345/88 kV SAO MIGUEL TR1 SP;0;345,00
